Worker,3Worker,8Worker,12Worker,50Worker,Server
2Requester,256.87,260.29,262.97,265.94,260.20
8Requester,511.12,259.72,264.92,258.99,259.27
12Requertser,708.61,337.22,266.13,261.06,257.98
50Requqster,2595.20,1042.88,734.58,258.71,294.27
