Worker,3Worker,8Worker,12Worker,50Worker,Server
2Requester,5.16,5.47,5.60,5.97,5.66
8Requester,10.09,5.69,5.00,5.16,6.02
12Requertser,13.62,7.01,5.11,5.33,6.04
50Requqster,47.68,19.76,14.18,5.34,6.27
